Source,Text,Date,Compound,Positive,Neutral,Negative
@BBCWorld,"RT @caRMelmochiTae: Please ARMYs help us spread this,Students are dying on the streets,our govt. is killing us..plz RT this and tag all the…",Sun Aug 05 03:33:28 +0000 2018,-0.1027,0.17,0.68,0.15
@BBCWorld,RT @mylifeducks: @parkhaengjin @CNN @BBCWorld @NPR @NewsHour @politico @AP  @ReutersWorld @NBCNews @BBCBreaking @RedeGlobo @sbtjornalismo @…,Sun Aug 05 03:33:28 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,RT @dboy_yoongichi: @lukewaltham @BBC @BBCWorld @CNN @AlJazeera @BuzzFeedNews @nytimesworld @nytimes @CBSNews Some Emails of international…,Sun Aug 05 03:33:27 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,RT @Geovana51158426: @Eoq_Bangtan A @BBCWorld  também nós estamos progredindo não podemos parar #WeWantJustice #WeDemandJustice,Sun Aug 05 03:33:26 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,RT @jjksmeraldo: @kthartic @yoongirxse @CNN @cnnbrk @UNICEF @NBCNews @BBCBreaking @BBCWorld @BBC @BuzzFeedNews @BuzzFeed @FoxNews @nytimes…,Sun Aug 05 03:33:26 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,"RT @NotGguksBae: ⚠️⚠️⚠️⚠️⚠️⚠️⚠️⚠️
Please guys. Just one tweet. One retweet. If you see this hashtags on your timeline please help us. 
This…",Sun Aug 05 03:33:26 +0000 2018,0.743,0.278,0.722,0.0
@BBCWorld,"RT @dboy_yoongichi: @lukewaltham Those kids need protection. We aren't getting help, the police is quiet and helping the oppressors! There…",Sun Aug 05 03:33:25 +0000 2018,-0.09,0.097,0.791,0.112
@BBCWorld,"RT @indigoostrich67: HELP US, PLEASE. #WeWantJustice @CNN @BBCWorld @NPR @NewsHour @politico @AlJazeera @ReutersWorld @AP",Sun Aug 05 03:33:24 +0000 2018,0.7555,0.35,0.65,0.0
@BBCWorld,RT @BBCWorld: These high flyers have set a new world record 🙌🏽 https://t.co/RykFZal61q,Sun Aug 05 03:33:21 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,"RT @PirayaManop: #WeDemandJustice
 Please  Help 
#WeDemandJustice
@CNN @cnnbrk @UNICEF @unicefbrasil @UNICEFUSA  @UNICEF_uk @NBCNews @BBCBr…",Sun Aug 05 03:33:21 +0000 2018,0.6124,0.294,0.706,0.0
@BBCWorld,"RT @decipherarmy: @YooniesJungoo .
#WeWantJustice #WeDemandJustice #WeWantJusticeForBangladesh
@CNN @BBCWorld @NPR @NewsHour @politico @AlJ…",Sun Aug 05 03:33:18 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,RT @FayetRafi: @ilsanspjm @CNN @BBCWorld @NPR @NewsHour @politico @AlJazeera @ReutersWorld @AP #WeWantJustice,Sun Aug 05 03:33:17 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,"RT @JHSKSEOKJ: @CNN @cnnbrk @UNICEF @NBCNews @BBCBreaking @BBCWorld @BBC @BuzzFeedNews @BuzzFeed @FoxNews @nytimes @ABC 

 #WeWantJustice",Sun Aug 05 03:33:17 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,"RT @caRMelmochiTae: Please ARMYs help us spread this,Students are dying on the streets,our govt. is killing us..plz RT this and tag all the…",Sun Aug 05 03:33:17 +0000 2018,-0.1027,0.17,0.68,0.15
@BBCWorld,@SreedharAjit @BBCWorld Since the beginning of communist China in 1949.,Sun Aug 05 03:33:12 +0000 2018,0.0,0.0,1.0,0.0
@BBCWorld,"RT @LYWHATLY: WE NEED YOUR HELP. PLEASE HELP US TO LET THE WORLD KNOW WHAT IS GOING ON IN. 
AND WE ARE BADLY IN NEED OF INTERNATIONAL SUPPO…",Sun Aug 05 03:33:10 +0000 2018,0.5574,0.221,0.69,0.089
@BBCWorld,RT @BBCWorld: Bangladesh students attacked during Dhaka protest https://t.co/DvDx9pqqud,Sun Aug 05 03:33:09 +0000 2018,-0.6124,0.0,0.583,0.417
@BBCWorld,"RT @AnisaJuairiah: #WeWantJustice @BBCWorld @BBCBreaking @CNN @cnni @AlJazeera STUDENTS BEING ABDUCTED, KILLED AND RAPED BY GOVT ACTIVISTS.…",Sun Aug 05 03:33:05 +0000 2018,-0.9485,0.0,0.49,0.51
@BBCWorld,"RT @PTIOfficialBWP: In 1997 elections , a journalist asked him. 
Why he didn't win a single seat?
He replied ,
""My supporters are still you…",Sun Aug 05 03:33:04 +0000 2018,-0.0444,0.116,0.761,0.123
@BBCWorld,RT @BBCWorld: Bangladesh students attacked during Dhaka protest https://t.co/DvDx9pqqud,Sun Aug 05 03:33:02 +0000 2018,-0.6124,0.0,0.583,0.417
@BBCWorld,RT @middayminyoongi: International media needs to cover this atrocity at heightened lengths. The lack of coverage on such matters is unacce…,Sun Aug 05 03:33:02 +0000 2018,-0.296,0.049,0.848,0.103
@CBSNews,"RT @RealBillRussell: I hadn't a need until now to say I am proud of @KingJames for following his dream to open “I Promise"" school. Helping…",Sun Aug 05 03:34:57 +0000 2018,0.7506,0.28,0.72,0.0
@CBSNews,@CBSNews Lol 3 doors down again?,Sun Aug 05 03:34:52 +0000 2018,0.4215,0.412,0.588,0.0
@CBSNews,RT @CBSNews: President Trump insults LeBron James on Twitter https://t.co/NyP3WxqvhU https://t.co/k7xcORuTSx,Sun Aug 05 03:34:46 +0000 2018,-0.4215,0.0,0.781,0.219
@CBSNews,"RT @CBSNews: Smith College employee who called police said black student looked ""out of place"" https://t.co/KshstEZZI5 https://t.co/chGLbLe…",Sun Aug 05 03:34:43 +0000 2018,0.0,0.0,1.0,0.0
@CBSNews,"RT @bayougal86: @CBSNews Well her husband, the veteran, did vote for Trump. I guess he got what he deserved.👍🏽",Sun Aug 05 03:34:41 +0000 2018,0.2732,0.11,0.89,0.0
@CBSNews,"RT @RealBillRussell: I hadn't a need until now to say I am proud of @KingJames for following his dream to open “I Promise"" school. Helping…",Sun Aug 05 03:34:37 +0000 2018,0.7506,0.28,0.72,0.0
@CBSNews,"RT @area51F: Black pastor: Trump more pro-black than Obama
     'This president actually wants to prove something to our community'

@CNN @…",Sun Aug 05 03:34:36 +0000 2018,0.0,0.0,1.0,0.0
@CBSNews,@CBSNews It does take a long time to plan an event like this. She is actually starting kind of late. She'll do fine.,Sun Aug 05 03:34:35 +0000 2018,0.5106,0.177,0.823,0.0
@CBSNews,@VBrown13245591 @Coleen721 @CBSNews You have another six and a half years. Get comfortable.,Sun Aug 05 03:34:34 +0000 2018,0.5106,0.231,0.769,0.0
@CBSNews,@CBSNews Lol look at those DSL’s,Sun Aug 05 03:34:30 +0000 2018,0.4215,0.359,0.641,0.0
@CBSNews,"RT @RealBillRussell: I hadn't a need until now to say I am proud of @KingJames for following his dream to open “I Promise"" school. Helping…",Sun Aug 05 03:34:29 +0000 2018,0.7506,0.28,0.72,0.0
@CBSNews,"RT @RealBillRussell: I hadn't a need until now to say I am proud of @KingJames for following his dream to open “I Promise"" school. Helping…",Sun Aug 05 03:34:28 +0000 2018,0.7506,0.28,0.72,0.0
@CBSNews,"RT @RealBillRussell: I hadn't a need until now to say I am proud of @KingJames for following his dream to open “I Promise"" school. Helping…",Sun Aug 05 03:34:27 +0000 2018,0.7506,0.28,0.72,0.0
@CBSNews,"RT @RealBillRussell: I hadn't a need until now to say I am proud of @KingJames for following his dream to open “I Promise"" school. Helping…",Sun Aug 05 03:34:27 +0000 2018,0.7506,0.28,0.72,0.0
@CBSNews,"RT @CBSNews: World War II-era ""EIRE"" markings revealed by massive fire in Ireland https://t.co/pqZwzieQZD https://t.co/pOHAjMglQv",Sun Aug 05 03:34:22 +0000 2018,-0.743,0.0,0.674,0.326
@CBSNews,@Ay5n6ix @RealBillRussell @KingJames @MSNBC @CNN @NBA @CBSNews Ugh I live in Akron..Its our City tax money.,Sun Aug 05 03:34:17 +0000 2018,-0.4215,0.0,0.833,0.167
